run_uuid,hostname,run_num,total_runs,order_type,random_seed,time_start,time_stop
654bdbf6-2d87-11ec-bf2e-ecb1d7851ab2,hp038.utah.cloudlab.us,25,40,random,1634278588.3692648,94823.129242511,94964.382900394
b9843cd5-2d87-11ec-bd43-ecb1d7851ab2,hp038.utah.cloudlab.us,26,40,random,1634278588.3692648,94964.435752345,95106.839741696
0e6d6d39-2d88-11ec-a24a-ecb1d7851ab2,hp038.utah.cloudlab.us,27,40,random,1634278588.3692648,95106.904158076,95244.539409966
6080ba50-2d88-11ec-936c-ecb1d7851ab2,hp038.utah.cloudlab.us,28,40,random,1634278588.3692648,95244.591658128,95379.969938622
b139c93c-2d88-11ec-9397-ecb1d7851ab2,hp038.utah.cloudlab.us,29,40,random,1634278588.3692648,95380.020119803,95517.723412021
03554c8f-2d89-11ec-a850-ecb1d7851ab2,hp038.utah.cloudlab.us,30,40,random,1634278588.3692648,95517.769108804,95655.66620304
558db2d3-2d89-11ec-ae4d-ecb1d7851ab2,hp038.utah.cloudlab.us,31,40,random,1634278588.3692648,95655.719311478,95793.456178453
a7aec788-2d89-11ec-8d12-ecb1d7851ab2,hp038.utah.cloudlab.us,32,40,random,1634278588.3692648,95793.503166775,95928.920662964
f86d0529-2d89-11ec-ad44-ecb1d7851ab2,hp038.utah.cloudlab.us,33,40,random,1634278588.3692648,95928.967397559,96065.252562767
49af9e46-2d8a-11ec-83fe-ecb1d7851ab2,hp038.utah.cloudlab.us,34,40,random,1634278588.3692648,96065.303489557,96199.192451568
998539fd-2d8a-11ec-8211-ecb1d7851ab2,hp038.utah.cloudlab.us,35,40,random,1634278588.3692648,96199.245055099,96338.719737964
ecaf657e-2d8a-11ec-9b48-ecb1d7851ab2,hp038.utah.cloudlab.us,36,40,random,1634278588.3692648,96338.770358233,96476.907363459
3f0d27b1-2d8b-11ec-8115-ecb1d7851ab2,hp038.utah.cloudlab.us,37,40,random,1634278588.3692648,96476.959482942,96610.198234781
8e7fba09-2d8b-11ec-b58f-ecb1d7851ab2,hp038.utah.cloudlab.us,38,40,random,1634278588.3692648,96610.249044707,96749.173694474
e155b438-2d8b-11ec-a50a-ecb1d7851ab2,hp038.utah.cloudlab.us,39,40,random,1634278588.3692648,96749.226105884,96878.779739554
